X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
21.781452895,41.7054792640001,8164,2015/04/22 20:30:00+00,Partially Verified,Europe,14,,"Somalia, Afghanistan",,Western Balkan,"Near Veles, former Yugoslav Republic of Macedonia",,,,,Macedonia Information Agency,http://ind.pn/1EvSuCe,"A large group of Somali and Afghan migrants were hit by a train near Veles in the former Yugoslav Republic of Macedonia. 14 were killed, while an estimated 36 survived.",Yes,Train accident,,
27.252642139,37.8471671950001,8963,2015/11/24 23:00:00+00,Partially Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Kusadisi beach, Aydin, Turkey",1,,1,4,Hurriyet Daily News,http://bit.ly/1IdTsXD,,Yes,Drowning,,
26.5151848630001,39.3146062920001,9763,2015/11/26 23:00:00+00,Partially Verified,Mediterranean,4,,Afghanistan,South Asia,Eastern Mediterranean,"Off the coast of Ayvacik, Turkey",,,4,,AP,http://bit.ly/1SnxT7o,,Yes,Drowning,50,
26.4069456600001,39.5029763920001,10163,2015/11/27 23:00:00+00,Partially Verified,Mediterranean,5,,Unknown,MENA,Eastern Mediterranean,"Bodies washed ashore Ayvacik district, Canakkale, Turkey",1,2,2,2 infants,Hurriyet Daily News,http://bit.ly/1NDccm0,,Yes,Drowning,,
26.2462706110001,38.406249019,10963,2015/11/30 23:00:00+00,Partially Verified,Mediterranean,3,30,Syria,MENA,Eastern Mediterranean,"Off the coast of Cesme, Izmir, Turkey. Heading for Chios",1,,6,20 days to 9y,Anadolu Agency,http://bit.ly/1HHteNj,"A boat carrying around 35 people heading for the Greek island of Chios sank off the coast of Cesme, Izmir province. 3 bodies were found washed up on a Turkish beach, while the 2 survivors reported at least 30 missing. One of the survivors, Ali Alsaho, lost his wife and 7 children in the accident",Yes,Drowning,,
-100.401622878,20.5916464160001,11364,2015/11/12 23:00:00+00,Partially Verified,Central America incl. Mexico,1,,El Salvador,Central America,Other,"Santiago de Querétaro, Querétaro, Mexico",,1,,,Diario de Querétaro,http://bit.ly/1OHQEBJ,"A migrant was killed in a hit-and-run in the capital city of Querétaro, Mexico. An acquaintance said that the migrant had arrived in Mexico to 'find his destiny' in the United States.",Yes,Hit by vehicle,,
29.498910381,36.159216493,11763,2015/11/30 23:00:00+00,Partially Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"off the coast of Ro, Greece",,1,1,3,AP,http://abcn.ws/1NrKdUh,,Yes,Drowning,24,
29.9855288430001,-22.218441495,11764,2015/12/03 23:00:00+00,Partially Verified,Sub-Saharan Africa,3,,Zimbabwe,Sub-Saharan Africa,Other,"Near the New Limpopo Bridge in Beitbridge, Zimbabwe, close to South African border",,3,1,7-9,Masasi News First,http://bit.ly/1NL9z1k,"Three Zimbabweans were killed by a hippopotamus near the New Limpopo Bridge in Beitbridge, Zimbabwe while attempting to illegally cross into South Africa. Among the deceased were two men and a child estimated to be aged between 7 and 9 years.",Yes,Killed by hippopotamus,,
27.0221800350001,37.4710386,13763,2015/12/08 23:00:00+00,Verified,Mediterranean,12,13,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Off the coast of Farmakonisi, Greece",2,4,5,1 infant,IOM Greece,http://bit.ly/1Y2gkeK,"A boat capsized off the coast of Farmakonisi, Greece, killing 12 migrants, including 5 children. 8 more are still missing, while 26 were rescued.",Yes,Drowning,26,
21.7718390360001,40.9301106020001,12163,2015/12/02 23:00:00+00,Verified,Europe,1,,Moroccan,MENA,Other,Greek-Macedonian border,,1,,22,IOM Greece,http://wapo.st/1TyLOZo,A 22-year-old Moroccan migrant was killed after touching electrified cables on top of a train carriage on the Greek-Macedonian border. The death came amid scuffles between migrants and refugees following the Macedonian authorities' closure of the border to those considered economic migrants.,Yes,Electrocuted,,
27.107573942,37.2762332340001,12164,2015/12/02 23:00:00+00,Partially Verified,Mediterranean,3,2,Unknown,MENA,Eastern Mediterranean,"Off the coast of Farmakonissi, Greece",1,,,,,AP,,Yes,Drowning,,
1.81817002500003,50.939388674,12563,2015/12/02 23:00:00+00,Partially Verified,Europe,1,,Sudan,MENA,Calais to UK,Calais motorway,,1,1,teenager,Calais Migrant Solidarity,http://bit.ly/1DPsGT2,,Yes,Hit by vehicle,,
1.91405095,50.9334077010001,12564,2015/12/01 23:00:00+00,Partially Verified,Europe,1,,Ethiopia,Horn of Africa,Calais to UK,"Calais motorway, France",,1,,,Calais Migrant Solidarity,http://bit.ly/1DPsGT2,"A migrant from Ethiopia was struck and killed by a car on a motorway in Calais, France",Yes,Hit by vehicle,,
26.214435472,38.3319567980001,12565,2015/12/07 23:00:00+00,Partially Verified,Mediterranean,6,,Afghan,MENA,Eastern Mediterranean,"off the coast of Cesme, Izmir, Turkey near Chios, Greece",,,6,1 infant,Hurriyet Daily News,http://bit.ly/1XW83hJ,"Six Afghan children drowned after an inflatable migrant boat capsized off the coast of Cesme, Izmir, Turkey en route to Chios, Greece. 8 other migrants were rescued by the Turkish Coast Guard.",Yes,Drowning,8,
27.11806096,37.318839156,12566,2015/12/09 23:00:00+00,Partially Verified,Mediterranean,4,9,Iraq,MENA,Eastern Mediterranean,"near Farmakonisi, Greece",,,,,Hurriyet Daily News,http://bit.ly/1RcqvOT,"Four Iraqi refugees drowned, while nine remain missing after their boat capsized near Farmakonisi, Greece. Turkish Coast Guard rescued two refugees from the water, while five others managed to swim back to the Turkish mainland.",Yes,Drowning,7,
-15.279552565,26.5443031070001,12964,2015/12/07 23:00:00+00,Partially Verified,North Africa,11,27,Reported as unspecified nationals of Africa,Sub-Saharan Africa,Western Mediterranean,140km south of Boujdor in Western Sahara en route to Canary Islands,1,10,,,Reuters,"http://bit.ly/1NVoYwm; http://bit.ly/28IfW7F",Moroccan authorities recovered the bodies of 11 African migrants off the coast of Boujedor whose boat sank apparently due to bad weather as they tried to cross to the Canary Islands.,Yes,Drowning,,
